Traffik,Bandwith,Throughput,Link Utilization,Delay,Jitter,Packet Loss,Kongesti Label
400,1000,412,0.412,27.556846,0.251,0,tidak kongesti
400,1000,400,0.4,28.819404,0.179,0,tidak kongesti
400,1000,400,0.4,29.531998,0.236,0,tidak kongesti
400,1000,400,0.4,29.201158,0.312,0,tidak kongesti
400,1000,400,0.4,30.066355,0.266,0,tidak kongesti
400,1000,400,0.4,30.436515,0.171,0,tidak kongesti
400,1000,400,0.4,27.727572,0.214,0,tidak kongesti
400,1000,400,0.4,29.148008,0.196,0,tidak kongesti
400,1000,412,0.412,29.497985,0.187,0,tidak kongesti
400,1000,412,0.412,29.962646,0.181,0,tidak kongesti
400,1000,400,0.4,29.333857,0.265,0,tidak kongesti
400,1000,400,0.4,29.060846,0.211,0,tidak kongesti
400,1000,400,0.4,29.331064,0.175,0,tidak kongesti
400,1000,400,0.4,30.050923,0.197,0,tidak kongesti
400,1000,400,0.4,29.101843,0.187,0,tidak kongesti
400,1000,400,0.4,29.166726,0.136,0,tidak kongesti
400,1000,400,0.4,29.587871,0.206,0,tidak kongesti
400,1000,400,0.4,29.559445,0.156,0,tidak kongesti
400,1000,400,0.4,28.772122,0.119,0,tidak kongesti
400,1000,400,0.4,29.908234,0.156,0,tidak kongesti
400,1000,400,0.4,29.627471,0.194,0,tidak kongesti
400,1000,400,0.4,29.096676,0.147,0,tidak kongesti
400,1000,400,0.4,29.532137,0.189,0,tidak kongesti
400,1000,400,0.4,28.935271,0.197,0,tidak kongesti
400,1000,400,0.4,29.810386,0.221,0,tidak kongesti
400,1000,400,0.4,29.142771,0.138,0,tidak kongesti
400,1000,400,0.4,29.602118,0.154,0,tidak kongesti
400,1000,400,0.4,29.142778,0.141,0,tidak kongesti
400,1000,400,0.4,29.894196,0.289,0,tidak kongesti
400,1000,412,0.412,29.121197,0.226,0,tidak kongesti
400,1000,400,0.4,29.535419,0.221,0,tidak kongesti
400,1000,400,0.4,29.473051,0.134,0,tidak kongesti
400,1000,400,0.4,29.182162,0.159,0,tidak kongesti
400,1000,400,0.4,29.414663,0.142,0,tidak kongesti
400,1000,400,0.4,29.436524,0.154,0,tidak kongesti
400,1000,400,0.4,29.593528,0.205,0,tidak kongesti
400,1000,400,0.4,28.799709,0.179,0,tidak kongesti
400,1000,400,0.4,29.640321,0.171,0,tidak kongesti
400,1000,412,0.412,29.719033,0.195,0,tidak kongesti
400,1000,400,0.4,29.451749,0.153,0,tidak kongesti
400,1000,400,0.4,29.602608,0.182,0,tidak kongesti
400,1000,400,0.4,28.487835,0.183,0,tidak kongesti
400,1000,400,0.4,29.658975,0.216,0,tidak kongesti
400,1000,400,0.4,29.798512,0.257,0,tidak kongesti
400,1000,400,0.4,29.165268,0.149,0,tidak kongesti
400,1000,400,0.4,29.070415,0.171,0,tidak kongesti
400,1000,400,0.4,29.560283,0.218,0,tidak kongesti
400,1000,400,0.4,29.449375,0.217,0,tidak kongesti
400,1000,400,0.4,29.679223,0.194,0,tidak kongesti
400,1000,400,0.4,28.955666,0.168,0,tidak kongesti
400,1000,412,0.412,29.746201,0.203,0,tidak kongesti
400,1000,412,0.412,29.284828,0.182,0,tidak kongesti
400,1000,400,0.4,29.663312,0.156,0,tidak kongesti
400,1000,400,0.4,28.776172,0.254,0,tidak kongesti
400,1000,400,0.4,29.441064,0.121,0,tidak kongesti
400,1000,400,0.4,29.744106,0.138,0,tidak kongesti
400,1000,400,0.4,29.552252,0.191,0,tidak kongesti
400,1000,400,0.4,29.145843,0.182,0,tidak kongesti
400,1000,400,0.4,29.547782,0.094,0,tidak kongesti
400,1000,400,0.4,29.531718,0.194,0,tidak kongesti
800,1000,800,0.8,18.778984,0.193,0,tidak kongesti
800,1000,811,0.811,14.871698,0.183,0,kongesti
800,1000,811,0.811,14.881478,0.247,0,kongesti
800,1000,800,0.8,15.206174,0.231,0,tidak kongesti
800,1000,800,0.8,14.155477,0.178,0,tidak kongesti
800,1000,800,0.8,15.183823,0.231,0,tidak kongesti
800,1000,800,0.8,14.714488,0.209,0,tidak kongesti
800,1000,800,0.8,14.313878,0.188,0,tidak kongesti
800,1000,811,0.811,14.879803,0.129,0,kongesti
800,1000,800,0.8,14.729643,0.223,0,tidak kongesti
800,1000,800,0.8,14.968781,0.149,0,tidak kongesti
800,1000,800,0.8,14.848584,0.204,0,tidak kongesti
800,1000,800,0.8,14.526415,0.185,0,tidak kongesti
800,1000,800,0.8,14.606513,0.145,0,tidak kongesti
800,1000,811,0.811,14.757511,0.139,0,kongesti
800,1000,800,0.8,14.512367,0.321,0,tidak kongesti
800,1000,800,0.8,14.763796,0.198,0,tidak kongesti
800,1000,800,0.8,14.833847,0.161,0,tidak kongesti
800,1000,800,0.8,14.498678,0.142,0,tidak kongesti
800,1000,800,0.8,15.014667,0.168,0,tidak kongesti
800,1000,800,0.8,14.634031,0.142,0,tidak kongesti
800,1000,800,0.8,14.357318,0.199,0,tidak kongesti
800,1000,800,0.8,14.181073,0.204,0,tidak kongesti
800,1000,800,0.8,14.991479,0.246,0,tidak kongesti
800,1000,800,0.8,18.085738,0.177,0,tidak kongesti
800,1000,800,0.8,11.194267,0.194,0,tidak kongesti
800,1000,800,0.8,14.861504,0.206,0,tidak kongesti
800,1000,811,0.811,14.499796,0.185,0,kongesti
800,1000,800,0.8,15.008101,0.285,0,tidak kongesti
800,1000,800,0.8,14.199268,0.167,0,tidak kongesti
800,1000,800,0.8,15.304509,0.225,0,tidak kongesti
800,1000,800,0.8,14.177267,0.229,0,tidak kongesti
800,1000,811,0.811,14.662526,0.176,0,kongesti
800,1000,800,0.8,14.802279,0.269,0,tidak kongesti
800,1000,800,0.8,15.465773,0.222,0,tidak kongesti
800,1000,800,0.8,13.571462,0.237,0,tidak kongesti
800,1000,800,0.8,15.651117,0.237,0,tidak kongesti
800,1000,800,0.8,14.137039,0.167,0,tidak kongesti
800,1000,800,0.8,14.674818,0.183,0,tidak kongesti
800,1000,800,0.8,15.272801,0.208,0,tidak kongesti
800,1000,800,0.8,14.034302,0.197,0,tidak kongesti
800,1000,811,0.811,14.636266,0.147,0,kongesti
800,1000,811,0.811,15.357449,0.194,0,kongesti
800,1000,800,0.8,14.409001,0.166,0,tidak kongesti
800,1000,800,0.8,14.812126,0.096,0,tidak kongesti
800,1000,811,0.811,14.618317,0.193,0,kongesti
800,1000,800,0.8,14.901943,0.252,0,tidak kongesti
800,1000,800,0.8,14.941612,0.233,0,tidak kongesti
800,1000,800,0.8,13.941273,0.204,0,tidak kongesti
800,1000,800,0.8,14.865346,0.176,0,tidak kongesti
800,1000,800,0.8,15.025073,0.182,0,tidak kongesti
800,1000,800,0.8,14.200664,0.226,0,tidak kongesti
800,1000,800,0.8,15.100482,0.177,0,tidak kongesti
800,1000,800,0.8,14.997136,0.225,0,tidak kongesti
800,1000,800,0.8,14.265338,0.225,0,tidak kongesti
800,1000,800,0.8,14.780698,0.195,0,tidak kongesti
800,1000,800,0.8,14.958374,0.193,0,tidak kongesti
800,1000,811,0.811,14.333922,0.224,0,kongesti
800,1000,800,0.8,15.231296,0.123,0,tidak kongesti
800,1000,800,0.8,13.937222,0.228,0,tidak kongesti
1200,1000,988,0.988,11.892183,2.288,10,kongesti berat
1200,1000,976,0.976,11.983237,2.286,11,kongesti berat
1200,1000,964,0.964,11.653891,2.374,11,kongesti berat
1200,1000,976,0.976,11.956089,2.608,11,kongesti berat
1200,1000,976,0.976,12.098776,2.292,11,kongesti berat
1200,1000,964,0.964,12.253753,2.295,11,kongesti berat
1200,1000,976,0.976,11.292466,2.292,11,kongesti berat
1200,1000,964,0.964,12.247538,2.295,11,kongesti berat
1200,1000,976,0.976,12.039061,2.295,11,kongesti berat
1200,1000,976,0.976,11.299974,2.293,10,kongesti berat
1200,1000,964,0.964,12.092489,2.296,10,kongesti berat
1200,1000,976,0.976,12.249424,2.287,10,kongesti berat
1200,1000,976,0.976,11.494659,2.297,10,kongesti berat
1200,1000,964,0.964,12.210555,2.292,8.5,kongesti berat
1200,1000,976,0.976,12.234268,2.294,8.6,kongesti berat
1200,1000,964,0.964,11.962026,2.297,11,kongesti berat
1200,1000,976,0.976,12.077892,2.306,11,kongesti berat
1200,1000,976,0.976,12.100801,2.297,11,kongesti berat
1200,1000,964,0.964,12.261017,2.289,10,kongesti berat
1200,1000,976,0.976,11.931016,2.314,10,kongesti berat
1200,1000,964,0.964,12.094026,2.292,10,kongesti berat
1200,1000,976,0.976,12.216528,2.293,10.5,kongesti berat
1200,1000,976,0.976,11.979277,2.315,11,kongesti berat
1200,1000,964,0.964,12.091511,2.297,11,kongesti berat
1200,1000,976,0.976,12.310143,2.296,9.7,kongesti berat
1200,1000,964,0.964,12.187823,2.348,9.5,kongesti berat
1200,1000,976,0.976,11.997645,2.295,11,kongesti berat
1200,1000,976,0.976,12.209221,2.308,11,kongesti berat
1200,1000,964,0.964,12.102616,2.385,8.9,kongesti berat
1200,1000,976,0.976,12.310122,2.289,11,kongesti berat
1200,1000,976,0.976,12.086343,2.294,11,kongesti berat
1200,1000,964,0.964,12.253335,2.302,11.2,kongesti berat
1200,1000,976,0.976,12.094864,2.304,11,kongesti berat
1200,1000,964,0.964,12.097797,2.292,11,kongesti berat
1200,1000,976,0.976,11.946521,2.296,11,kongesti berat
1200,1000,976,0.976,12.223233,2.303,11.4,kongesti berat
1200,1000,964,0.964,12.071956,2.291,11,kongesti berat
1200,1000,976,0.976,12.000928,2.291,10,kongesti berat
1200,1000,964,0.964,12.109221,2.309,10,kongesti berat
1200,1000,976,0.976,12.098077,2.304,10.9,kongesti berat
1200,1000,976,0.976,12.318901,2.306,10.6,kongesti berat
1200,1000,964,0.964,11.996877,2.303,11,kongesti berat
1200,1000,976,0.976,12.092978,2.537,11,kongesti berat
1200,1000,964,0.964,12.244395,2.306,10,kongesti berat
1200,1000,976,0.976,11.946381,2.531,11,kongesti berat
1200,1000,964,0.964,12.099962,2.293,11,kongesti berat
1200,1000,976,0.976,12.089836,2.312,11,kongesti berat
1200,1000,976,0.976,12.254731,2.305,11,kongesti berat
1200,1000,964,0.964,12.106458,2.285,11,kongesti berat
1200,1000,976,0.976,11.928781,2.297,11,kongesti berat
1200,1000,964,0.964,12.095423,2.307,11,kongesti berat
1200,1000,976,0.976,12.097239,2.295,10,kongesti berat
1200,1000,976,0.976,12.102407,2.297,11,kongesti berat
1200,1000,964,0.964,12.091232,2.334,9,kongesti berat
1200,1000,976,0.976,12.092909,2.294,8.7,kongesti berat
1200,1000,976,0.976,12.096959,2.288,10,kongesti berat
1200,1000,964,0.964,12.243836,2.347,11,kongesti berat
1200,1000,976,0.976,12.044509,2.307,10.3,kongesti berat
1200,1000,964,0.964,11.999746,2.287,11,kongesti berat
1200,1000,976,0.976,12.258782,2.387,11,kongesti berat
1600,1000,976,0.976,12.599283,4.767,27,kongesti berat
1600,1000,964,0.964,12.012384,4.749,27,kongesti berat
1600,1000,976,0.976,12.847212,4.751,27,kongesti berat
1600,1000,976,0.976,12.097163,4.757,27,kongesti berat
1600,1000,964,0.964,12.097861,4.742,27,kongesti berat
1600,1000,976,0.976,12.096535,4.736,27,kongesti berat
1600,1000,964,0.964,12.097861,4.768,28,kongesti berat
1600,1000,976,0.976,12.095347,4.746,29,kongesti berat
1600,1000,976,0.976,12.101912,4.751,33,kongesti berat
1600,1000,964,0.964,12.238243,4.756,27,kongesti berat
1600,1000,976,0.976,12.080051,4.774,27,kongesti berat
1600,1000,964,0.964,12.113576,4.748,27,kongesti berat
1600,1000,976,0.976,11.951404,4.767,34,kongesti berat
1600,1000,976,0.976,12.423936,4.754,36,kongesti berat
1600,1000,964,0.964,12.509849,4.744,32,kongesti berat
1600,1000,976,0.976,11.945048,4.778,31,kongesti berat
1600,1000,964,0.964,12.094718,4.737,27,kongesti berat
1600,1000,976,0.976,12.096046,4.753,30,kongesti berat
1600,1000,976,0.976,12.126985,4.836,28,kongesti berat
1600,1000,964,0.964,12.154433,4.741,30,kongesti berat
1600,1000,976,0.976,12.011188,4.749,28,kongesti berat
1600,1000,964,0.964,12.239011,4.885,34,kongesti berat
1600,1000,976,0.976,12.101283,4.758,29,kongesti berat
1600,1000,976,0.976,11.947144,4.741,34,kongesti berat
1600,1000,964,0.964,12.237474,4.746,33,kongesti berat
1600,1000,976,0.976,11.950356,4.739,30,kongesti berat
1600,1000,976,0.976,12.167424,4.752,33,kongesti berat
1600,1000,964,0.964,12.021175,4.757,31,kongesti berat
1600,1000,976,0.976,12.416897,4.751,34,kongesti berat
1600,1000,964,0.964,11.924655,4.754,29,kongesti berat
1600,1000,976,0.976,11.952941,4.744,31,kongesti berat
1600,1000,976,0.976,12.240967,4.778,27,kongesti berat
1600,1000,964,0.964,12.104356,4.737,30,kongesti berat
1600,1000,976,0.976,11.941766,4.753,28,kongesti berat
1600,1000,964,0.964,12.102611,4.754,30,kongesti berat
1600,1000,976,0.976,12.086477,4.744,28,kongesti berat
1600,1000,976,0.976,12.298516,4.778,34,kongesti berat
1600,1000,964,0.964,11.906705,4.737,29,kongesti berat
1600,1000,976,0.976,12.243131,4.753,34,kongesti berat
1600,1000,976,0.976,11.964534,4.836,27,kongesti berat
1600,1000,964,0.964,12.073836,4.741,27,kongesti berat
1600,1000,976,0.976,12.093322,4.749,28,kongesti berat
1600,1000,964,0.964,12.094858,4.885,27,kongesti berat
1600,1000,976,0.976,12.245017,4.758,27,kongesti berat
1600,1000,976,0.976,12.052605,4.741,29,kongesti berat
1600,1000,964,0.964,11.991283,4.746,29,kongesti berat
1600,1000,976,0.976,12.241106,4.739,29,kongesti berat
1600,1000,964,0.964,12.088153,4.752,29,kongesti berat
1600,1000,976,0.976,11.962998,4.757,29,kongesti berat
1600,1000,976,0.976,12.240687,4.751,30,kongesti berat
1600,1000,964,0.964,11.945188,4.754,30,kongesti berat
1600,1000,976,0.976,12.125242,4.749,27,kongesti berat
1600,1000,964,0.964,11.947423,4.885,27,kongesti berat
1600,1000,976,0.976,12.208983,4.758,34,kongesti berat
1600,1000,976,0.976,12.093461,4.741,34,kongesti berat
1600,1000,964,0.964,12.246135,4.746,31,kongesti berat
1600,1000,976,0.976,11.947493,4.741,30,kongesti berat
1600,1000,976,0.976,12.237963,4.749,30,kongesti berat
1600,1000,964,0.964,12.094788,4.885,30,kongesti berat
1600,1000,976,0.976,12.109246,4.758,28,kongesti berat
2000,1000,976,0.976,11.962998,6.315,42,kongesti berat
2000,1000,976,0.976,12.240687,6.215,42,kongesti berat
2000,1000,964,0.964,11.945188,6.225,42,kongesti berat
2000,1000,976,0.976,11.393757,6.218,42,kongesti berat
2000,1000,964,0.964,12.120598,6.211,42,kongesti berat
2000,1000,976,0.976,12.113792,6.114,46,kongesti berat
2000,1000,976,0.976,12.016605,6.205,44,kongesti berat
2000,1000,964,0.964,12.096573,6.226,42,kongesti berat
2000,1000,976,0.976,12.102929,6.216,45,kongesti berat
2000,1000,976,0.976,12.092523,6.216,45,kongesti berat
2000,1000,964,0.964,12.095177,6.222,45,kongesti berat
2000,1000,976,0.976,12.096852,6.127,42,kongesti berat
2000,1000,964,0.964,12.209385,6.225,42,kongesti berat
2000,1000,976,0.976,12.096504,6.234,43,kongesti berat
2000,1000,976,0.976,12.091335,6.227,48,kongesti berat
2000,1000,964,0.964,12.109818,6.341,47,kongesti berat
2000,1000,976,0.976,12.099646,6.665,42,kongesti berat
2000,1000,964,0.964,12.092174,6.213,42,kongesti berat
2000,1000,976,0.976,12.099227,6.211,42,kongesti berat
2000,1000,964,0.964,12.091265,6.239,50,kongesti berat
2000,1000,976,0.976,12.409811,6.218,49,kongesti berat
2000,1000,976,0.976,12.098184,6.217,42,kongesti berat
2000,1000,964,0.964,12.096085,6.243,42,kongesti berat
2000,1000,976,0.976,12.095526,6.236,42,kongesti berat
2000,1000,976,0.976,12.236675,6.222,42,kongesti berat
2000,1000,964,0.964,11.951932,6.253,42,kongesti berat
2000,1000,976,0.976,12.101951,6.211,49,kongesti berat
2000,1000,964,0.964,12.092243,6.114,42,kongesti berat
2000,1000,976,0.976,12.309399,6.205,48,kongesti berat
2000,1000,976,0.976,12.092103,6.226,47,kongesti berat
2000,1000,964,0.964,12.343603,6.216,49,kongesti berat
2000,1000,976,0.976,11.857715,6.216,42,kongesti berat
2000,1000,964,0.964,12.093082,6.315,42,kongesti berat
2000,1000,976,0.976,12.754132,6.215,42,kongesti berat
2000,1000,976,0.976,11.438596,6.225,42,kongesti berat
2000,1000,964,0.964,12.309783,6.218,42,kongesti berat
2000,1000,976,0.976,12.092034,6.211,42,kongesti berat
2000,1000,976,0.976,12.095875,6.114,42,kongesti berat
2000,1000,964,0.964,12.098319,6.205,44,kongesti berat
2000,1000,976,0.976,12.309392,6.253,43,kongesti berat
2000,1000,964,0.964,12.094269,6.211,47,kongesti berat
2000,1000,976,0.976,12.101951,6.114,47,kongesti berat
2000,1000,976,0.976,12.092941,6.205,46,kongesti berat
